,tweetRetweetCt,tweetFavoriteCt,userFollowerCt,userFriendsCt,sentimentPos,sentimentNeut,sentimentNeg,sentimentComp
count,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
mean,0.2833333333333333,0.5333333333333333,21447.953333333335,2361.55,0.11399666666666666,0.8160866666666665,0.06990999999999999,0.10283433333333333
std,1.03600187669583,2.9864054671577716,169474.90778434687,12715.421014635383,0.12866670272525657,0.1561115901660393,0.11802848941836593,0.49363410323925627
min,0.0,0.0,0.0,0.0,0.0,0.354,0.0,-0.9042
25%,0.0,0.0,128.0,111.0,0.0,0.714,0.0,-0.1065
50%,0.0,0.0,434.0,448.0,0.0905,0.8,0.0,0.0
75%,0.0,0.0,2104.5,1147.25,0.2085,1.0,0.131,0.5267
max,10.0,49.0,1945504.0,201937.0,0.603,1.0,0.458,0.9143
